CryptoSwift.o                                      			0.57M
BCHybridCacheLogEntity.o                           			0.00M
UMAPM[121]                                         			0.00M
libswiftCompatibility56.a[arm64][15]               			0.00M
TYRZUISDK[arm64][45]                               			0.00M
PreLoginModel.o                                    			0.00M
libspeechsdk.a[arm64][216]                         			0.00M
UMAPM[116]                                         			0.00M
EAccountApiSDK[24]                                 			0.00M
libJCore.a[23]                                     			0.00M
UMAPM[114]                                         			0.00M
EAccountApiSDK[7]                                  			0.00M
TYRZUISDK[arm64][16]                               			0.00M
UMCommon[22]                                       			0.00M
libspeechsdk.a[arm64][86]                          			0.00M
UMAPM[138]                                         			0.00M
libJCore.a[20]                                     			0.00M
UMAPM[135]                                         			0.00M
libJCore.a[37]                                     			0.00M
libJPushExtension.a[3]                             			0.00M
EBMCardLoadingCell.o                               			0.00M
UMAPM[81]                                          			0.00M
SyncFLDefaults.o                                   			0.00M
UMAPM[68]                                          			0.00M
libJCore.a[41]                                     			0.00M
UMCommon[34]                                       			0.00M
libspeechsdk.a[arm64][139]                         			0.00M
BCTrackerDefine.o                                  			0.00M
libJCore.a[47]                                     			0.00M
libJCore.a[38]                                     			0.00M
TYRZUISDK[arm64][11]                               			0.00M
BCEvidenceRefBridgeImp.o                           			0.00M
libspeechsdk.a[arm64][210]                         			0.00M
UMAPM[36]                                          			0.00M
libJPush.a[14]                                     			0.00M
libspeechsdk.a[arm64][194]                         			0.00M
libspeechsdk.a[arm64][303]                         			0.00M
UMCommon[55]                                       			0.00M
libJCore.a[51]                                     			0.00M
libspeechsdk.a[arm64][192]                         			0.00M
Notification+Name.o                                			0.00M
libspeechsdk.a[arm64][304]                         			0.00M
libsystem_c.dylib                                  			0.00M
BCTTSConfigChanged.o                               			0.00M
UMCommon[29]                                       			0.00M
UMAPM[32]                                          			0.00M
UMAPM[131]                                         			0.00M
BCFunctionImp.o                                    			0.00M
UMAPM[34]                                          			0.00M
EAccountApiSDK[16]                                 			0.00M
EAccountApiSDK[23]                                 			0.00M
TYRZUISDK[arm64][40]                               			0.00M
libspeechsdk.a[arm64][124]                         			0.00M
libspeechsdk.a[arm64][143]                         			0.00M
TYRZUISDK[arm64][19]                               			0.00M
UMAPM[107]                                         			0.00M
EAccountApiSDK[19]                                 			0.00M
libspeechsdk.a[arm64][120]                         			0.00M
libspeechsdk.a[arm64][230]                         			0.00M
UMAPM[98]                                          			0.00M
UMAPM[48]                                          			0.00M
libJCore.a[111]                                    			0.00M
UMCommon[5]                                        			0.00M
account_login_sdk_noui_core[arm64][9]              			0.00M
UMAPM[144]                                         			0.00M
UMCommon[24]                                       			0.00M
EAccountApiSDK[10]                                 			0.00M
EAccountApiSDK[18]                                 			0.00M
libspeechsdk.a[arm64][112]                         			0.00M
libJCore.a[39]                                     			0.00M
libclang_rt.ios.a[arm64][21]                       			0.00M
libJCore.a[64]                                     			0.00M
libspeechsdk.a[arm64][136]                         			0.00M
libspeechsdk.a[arm64][238]                         			0.00M
UIView+Toast.o                                     			0.00M
CoreFoundation.tbd                                 			0.00M
libspeechsdk.a[arm64][219]                         			0.00M
libspeechsdk.a[arm64][264]                         			0.00M
libJCore.a[27]                                     			0.00M
libspeechsdk.a[arm64][269]                         			0.00M
UMAPM[90]                                          			0.00M
libspeechsdk.a[arm64][218]                         			0.00M
libJPush.a[16]                                     			0.00M
UMAPM[104]                                         			0.00M
libspeechsdk.a[arm64][285]                         			0.00M
libspeechsdk.a[arm64][100]                         			0.00M
libJVerification.a[31]                             			0.00M
BCNotificationPermissionInfoImpl.o                 			0.00M
UMCommon[21]                                       			0.00M
libSpeechEngineToB_SpeechEngineToB_awesome_ios.a[arm64][5] 			0.00M
UMAPM[83]                                          			0.00M
UMAPM[88]                                          			0.00M
libJCore.a[109]                                    			0.00M
FlutterPluginRegistrant[4]                         			0.00M
